semantic_score,grade_match,unit_match,component_match,label
0.5290482,1,1,0,1
0.47579476,0,1,0,0
0.45766538,0,1,0,0
0.52509546,0,1,0,0
0.44546652,0,1,0,0
0.2817775,0,0,0,0
0.27887666,0,0,0,0
0.28040212,0,0,0,0
0.34939778,0,0,0,0
0.2905798,0,0,0,0
0.19410582,0,1,0,0
0.19522914,0,1,0,0
0.29897648,0,1,0,0
0.18444967,0,1,0,0
0.3097747,0,1,0,0
0.459001,0,0,0,0
0.4047191,0,0,0,0
0.26232535,0,0,0,0
0.23899916,0,0,0,0
0.013961503,0,0,0,0
0.09842783,0,1,0,0
0.12841257,0,1,0,0
0.17834753,0,1,0,0
0.42932883,0,0,1,0
0.12237951,0,0,0,0
0.4452736,0,1,0,0
0.48839313,1,1,0,1
0.40789846,0,1,0,0
0.5240853,0,1,0,0
0.44783315,0,1,0,0
0.22779876,0,0,0,0
0.21772608,0,0,0,0
0.25488567,0,0,0,0
0.34849924,0,0,0,0
0.2968288,0,0,0,0
0.19154175,0,1,0,0
0.190371,0,1,0,0
0.2972288,0,1,0,0
0.18395983,0,1,0,0
0.31593496,0,1,0,0
0.47801137,0,0,0,0
0.4172082,0,0,0,0
0.29093492,0,0,0,0
0.25173357,0,0,0,0
0.021569159,0,0,0,0
0.0916459,0,1,0,0
0.11892704,0,1,0,0
0.1931358,0,1,0,0
0.42565563,0,0,1,0
0.09911184,0,0,0,0
0.5991985,0,1,0,0
0.6561839,0,1,0,0
0.6152586,0,1,0,0
0.96596366,1,1,1,1
0.5568855,0,1,0,0
0.355379,0,0,0,0
0.33803642,0,0,0,0
0.31103933,0,0,0,0
0.2472915,0,0,0,0
0.28617525,0,0,0,0
0.3865313,0,1,0,0
0.410869,0,1,0,0
0.41916215,0,1,0,0
0.38640377,0,1,0,0
0.33361152,0,1,0,0
0.37189293,0,0,0,0
0.31440407,0,0,0,0
0.29693088,0,0,0,0
0.29998598,0,0,0,0
0.11658908,0,0,0,0
0.29054368,0,1,0,0
0.30379683,0,1,0,0
0.07878235,0,1,0,0
0.27319735,0,0,0,0
0.057015367,0,0,0,0
0.53837657,0,1,0,0
0.60339665,0,1,0,0
0.5888227,0,1,0,0
0.54998827,0,1,0,0
0.98319197,1,1,0,1
0.34860644,0,0,0,0
0.32420346,0,0,0,0
0.3411766,0,0,0,0
0.18751153,0,0,0,0
0.15137182,0,0,0,0
0.2944938,0,1,0,0
0.32322276,0,1,0,0
0.37867004,0,1,0,0
0.29064688,0,1,0,0
0.23868604,0,1,0,0
0.339293,0,0,0,0
0.26890084,0,0,0,0
0.15260257,0,0,0,0
0.18406062,0,0,0,0
0.049338926,0,0,0,0
0.2926635,0,1,0,0
0.31698954,0,1,0,0
0.11435932,0,1,0,0
0.30506063,0,0,0,0
0.07222843,0,0,0,0
0.4039051,0,0,0,0
0.38130873,0,0,0,0
0.2942286,0,0,0,0
0.30605906,0,0,0,0
0.29991287,0,0,0,0
0.83367133,1,1,0,1
0.7148193,1,1,0,0
0.5312127,1,1,0,0
0.34005484,1,1,0,0
0.20918573,1,1,0,0
0.25281125,1,0,0,0
0.24882631,1,0,0,0
0.32642898,1,0,0,0
0.23160943,1,0,0,0
0.24865238,1,0,0,0
0.18084073,1,0,0,0
0.13479353,1,0,0,0
0.19812012,1,0,0,0
0.22510159,1,0,0,0
0.10175384,1,0,0,0
0.122964606,1,0,0,0
0.13895014,1,0,0,0
0.07165299,1,0,0,0
0.12205064,1,0,0,0
0.09488444,1,0,0,0
0.42497975,0,0,0,0
0.34953743,0,0,0,0
0.31369066,0,0,0,0
0.29100356,0,0,0,0
0.29115635,0,0,0,0
0.73623514,1,1,0,0
0.83884895,1,1,0,1
0.5449871,1,1,0,0
0.32075834,1,1,0,0
0.18854687,1,1,0,0
0.24383932,1,0,0,0
0.26194254,1,0,0,0
0.33773965,1,0,0,0
0.24337323,1,0,0,0
0.24317771,1,0,0,0
0.15411372,1,0,0,0
0.1182832,1,0,0,0
0.14352052,1,0,0,0
0.16599251,1,0,0,0
0.099830195,1,0,0,0
0.1135675,1,0,0,0
0.13831964,1,0,0,0
0.07541177,1,0,0,0
0.10613184,1,0,0,0
0.072398365,1,0,0,0
0.28167516,0,0,0,0
0.25688696,0,0,0,0
0.18744174,0,0,0,0
0.26300985,0,0,0,0
0.31220776,0,0,0,0
0.5366719,1,1,0,0
0.5402625,1,1,0,0
0.90794134,1,1,0,1
0.1500705,1,1,0,0
0.26935026,1,1,0,0
0.1415766,1,0,0,0
0.14211228,1,0,0,0
0.28588438,1,0,0,0
0.13994803,1,0,0,0
0.20780897,1,0,0,0
0.13881113,1,0,0,0
0.12957007,1,0,0,0
0.1315972,1,0,0,0
0.18632871,1,0,0,0
0.112014994,1,0,0,0
0.19119705,1,0,0,0
0.2012468,1,0,0,0
0.09320079,1,0,0,0
0.21844885,1,0,0,0
0.18002316,1,0,0,0
0.20348617,0,0,0,0
0.21172275,0,0,0,0
0.27011228,0,0,0,0
0.22520939,0,0,0,0
0.18635437,0,0,0,0
0.10597424,1,1,0,0
0.07664752,1,1,0,0
0.1433639,1,1,0,0
1.0000001,1,1,0,1
0.24650827,1,1,0,0
0.19502693,1,0,0,0
0.19660556,1,0,0,0
0.16578835,1,0,0,0
0.20008104,1,0,0,0
0.16001341,1,0,0,0
0.40721926,1,0,0,0
0.3210712,1,0,0,0
0.16335848,1,0,0,0
0.1965971,1,0,0,0
-0.008437719,1,0,0,0
-0.043594595,1,0,0,0
-0.040611673,1,0,0,0
0.027365617,1,0,0,0
0.063019015,1,0,0,0
0.06994156,1,0,0,0
0.2557314,0,0,0,0
0.26807773,0,0,0,0
0.1993585,0,0,0,0
0.29677802,0,0,0,0
0.19789495,0,0,0,0
0.25403675,1,1,0,0
0.26315683,1,1,0,0
0.45402974,1,1,0,0
0.25723803,1,1,0,0
0.9119016,1,1,0,1
0.07310699,1,0,0,0
0.07694675,1,0,0,0
0.19869404,1,0,0,0
0.08801523,1,0,0,0
0.19768566,1,0,0,0
0.20511767,1,0,0,0
0.20768687,1,0,0,0
0.24737191,1,0,0,0
0.18197352,1,0,0,0
0.11299405,1,0,0,0
0.049935076,1,0,0,0
0.04144098,1,0,0,0
0.035539474,1,0,0,0
0.2432321,1,0,0,0
0.16016102,1,0,0,0
0.42302692,0,1,0,0
0.43207884,0,1,0,0
0.4495818,0,1,0,0
0.40063357,0,1,0,0
0.29810846,0,1,0,0
0.21788438,1,0,0,0
0.20053756,1,0,0,0
0.17307156,1,0,0,0
0.19502695,1,0,0,0
0.009420566,1,0,0,0
1.0000001,1,1,0,1
0.94875,1,1,0,0
0.6592505,1,1,0,0
0.7862909,1,1,0,0
0.52420217,1,1,0,0
0.37989897,1,0,0,0
0.2494595,1,0,0,0
0.32424587,1,0,0,0
0.35042968,1,0,0,0
0.11361019,1,0,0,0
0.27345806,1,1,0,0
0.2687968,1,1,0,0
0.15644464,1,1,0,0
0.23959158,1,0,0,0
0.10971412,1,0,0,0
0.42853552,0,1,0,0
0.4561231,0,1,0,0
0.47478318,0,1,0,0
0.42394382,0,1,0,0
0.32605284,0,1,0,0
0.21319534,1,0,0,0
0.2228027,1,0,0,0
0.16794309,1,0,0,0
0.19660556,1,0,0,0
0.00888456,1,0,0,0
0.9487501,1,1,0,0
1.0,1,1,0,1
0.66414934,1,1,0,0
0.795399,1,1,0,0
0.5187851,1,1,0,0
0.38168955,1,0,0,0
0.25160706,1,0,0,0
0.28041258,1,0,0,0
0.30559063,1,0,0,0
0.12731966,1,0,0,0
0.27763033,1,1,0,0
0.26733637,1,1,0,0
0.14192463,1,1,0,0
0.22412498,1,0,0,0
0.09115611,1,0,0,0
0.43557858,0,1,0,0
0.45640302,0,1,0,0
0.45661485,0,1,0,0
0.4496287,0,1,0,0
0.40330192,0,1,0,0
0.2697788,1,0,0,0
0.27878863,1,0,0,0
0.2909214,1,0,0,0
0.16578841,1,0,0,0
0.11772221,1,0,0,0
0.6592505,1,1,0,0
0.6641493,1,1,0,0
1.0000001,1,1,0,1
0.66025174,1,1,0,0
0.66982955,1,1,0,0
0.41956007,1,0,0,0
0.29015148,1,0,0,0
0.28272814,1,0,0,0
0.25175288,1,0,0,0
0.1954382,1,0,0,0
0.28062972,1,1,0,0
0.28772548,1,1,0,0
0.1786902,1,1,0,0
0.26950237,1,0,0,0
0.06168339,1,0,0,0
0.3371085,0,1,0,0
0.33604264,0,1,0,0
0.3880449,0,1,0,0
0.30828243,0,1,0,0
0.2669726,0,1,0,0
0.24295668,1,0,0,0
0.28522408,1,0,0,0
0.21782833,1,0,0,0
0.1540938,1,0,0,0
